id_catalogo,id_alcampo,nombre_catalogo,tipo,marca_catalogo,nombre_alcampo,marca_alcampo,precio_alcampo,score,motivo
CAT-1499,AL-50743,agua mineral,marca_fabricante,Cortes,"ESMIAGUA Agua mineral botella de 1,5 L, pack de 6 uds.",ESMIAGUA,1.8,0,"marcas completamente distintas, Cortes vs Esmiagua, productos diferentes"
CAT-1495,AL-69548,agua mineral,marca_fabricante,Bronchales,SOLAN DE CABRAS Agua mineral botella de 50 cl.,SOLAN DE CABRAS,0.75,0,"marcas diferentes (Bronchales vs SOLAN DE CABRAS), marca_fabricante requiere coincidencia de marca"
CAT-1361,AL-50743,agua mineral,marca_fabricante,Bronchales,"ESMIAGUA Agua mineral botella de 1,5 L, pack de 6 uds.",ESMIAGUA,1.8,0,"marcas diferentes (Bronchales vs ESMIAGUA), marca_fabricante requiere coincidencia de marca"
CAT-1497,AL-69548,agua mineral,marca_fabricante,Cortes,SOLAN DE CABRAS Agua mineral botella de 50 cl.,SOLAN DE CABRAS,0.75,0,"marcas diferentes (Cortes vs SOLAN DE CABRAS), marca_fabricante requiere coincidencia de marca"
CAT-1359,AL-45553,crema protección solar FPS 50+,marca_blanca,,"NENUCO Jabón líquido para bebe, ultra suave y enriquecido con vitamina E y aloe vera NENUCO 1125 ml.",NENUCO,4.65,0,categorías distintas: protección solar vs jabón líquido para bebé
CAT-0143,AL-208843,pañales bebé,marca_fabricante,Dodot,PRODUCTO ALCAMPO Baby Pañales talla 5 (11-25 kg) 80 uds.,PRODUCTO ALCAMPO,13.15,0,"marcas diferentes (Dodot vs PRODUCTO ALCAMPO), marca_fabricante requiere coincidencia de marca"
CAT-4200,AL-44097,agua de colonia fresca infantil con notas cítricas,marca_blanca,,"NENUCO Agua de colonia refrescante para tu bebé, fragancia original NENUCO 600 ml.",NENUCO,3.4,0,"categorías completamente distintas: agua de colonia infantil vs agua de colonia para bebé marca NENUCO, productos diferentes"
CAT-2125,AL-57229,lima,marca_blanca,,Limones 750 g.,FRUTA,1.99,0,"productos distintos (lima vs limón), categorías diferentes"
CAT-3215,AL-11979,caramelos sabor café sin azúcar,marca_blanca,,MENTOLÍN Caramelos limón & melisa sin azúcar 115 g.,MENTOLÍN,1.75,0,"caramelos distinto sabor (café vs limón & melisa), productos diferentes"
CAT-4033,AL-26667,cerveza especial sin gluten,marca_fabricante,Falke,"SAM MILLS Pasta Pipette, pasta sin gluten SAM MILLS, 500 gramos.",SAM MILLS,1.99,0,categorías completamente distintas: cerveza vs pasta
CAT-7084,AL-27821,café molido mezcla gran aroma,marca_fabricante,Marcilla,"DOLCE GUSTO Café en cápsulas espreso intenso I7, 16 uds.",NESCAFÉ,4.7,2,"ambos café pero formato distinto (molido vs cápsulas) y marcas diferentes, no es mismo producto"
CAT-3153,AL-18732,pasta fusilli,marca_fabricante,Armando,"SAM MILLS Pasta Fusilli, pasta sin Gluten 500 g.",SAM MILLS,1.99,2,mismo tipo pasta (fusilli) pero marcas distintas (Armando vs SAM MILLS) y SAM MILLS es sin gluten
CAT-2131,AL-254729,bebida refrescante,marca_fabricante,Bahamas,"PRODUCTO ALCAMPO Bebida refrescante de zumo de manzana, piña y naranja Bahamas 2 l.",PRODUCTO ALCAMPO,1.39,2,"marca fabricante Bahamas en catálogo pero marca PRODUCTO ALCAMPO en Alcampo, misma bebida pero marca distinta"
CAT-3163,AL-26667,pasta penne,marca_fabricante,Armando,"SAM MILLS Pasta Pipette, pasta sin gluten SAM MILLS, 500 gramos.",SAM MILLS,1.99,2,mismo tipo pasta (penne/pipette) pero marcas distintas (Armando vs SAM MILLS) y especificaciones diferentes
CAT-3973,AL-90809,ensaimada,marca_blanca,,Napolitana rellena de crema 2 uds. 165 g.,BOLLERÍA,1.49,2,"productos de bollería pero diferentes: ensaimada vs napolitana de crema, no son el mismo producto"
CAT-0186,AL-29527,café molido natural,marca_fabricante,Bonka,"DOLCE GUSTO Café  en cápsulas espresso bonka I8, 16 uds.",NESCAFÉ DOLCE GUSTO,4.7,2,"café marca Bonka molido vs cápsula Dolce Gusto, formatos y marcas diferentes"
CAT-4111,AL-229963,panes especiales con pipas de calabaza,marca_blanca,,PRODUCTO ALCAMPO Pipas de calabaza crudas 150 g.,PRODUCTO ALCAMPO,1.65,2,"panes con pipas vs pipas solas, son productos distintos de la misma familia"
CAT-4204,AL-764202,pollo adobado y verduras,marca_blanca,,RANA Pollo con arroz indian style (con toppings y guindilla seca) 351 g.,RANA,4.49,2,ambos platos preparados con pollo pero diferentes: pollo adobado y verduras vs pollo con arroz indian style
CAT-0228,AL-38074,algodón hidrófilo hipoalergénico,marca_blanca,,"JOHNSON´S Baby Bastoncillos para bebé, niños y adultos de papel con extremos de algodón 100% puro 100 uds.",JOHNSON'S,2.08,2,"algodón hidrófilo vs bastoncillos de algodón, productos distintos, marcas diferentes"
CAT-0883,AL-906565,crema de cacahuete 100%,marca_blanca,,PRODUCTO ALCAMPO Cacahuete en polvo 75% desgrasado 200 g.,PRODUCTO ALCAMPO,2.74,2,ambos de cacahuete pero productos distintos (crema 100% vs polvo 75% desgrasado)
CAT-6548,AL-496897,parmigiana de berenjena congelada,marca_blanca,,CARRETILLA El Buen Comer Berenjena gratinada rellena de carne 350 g.,CARRETILLA,3.54,2,ambos platos congelados de berenjena pero tipos distintos: parmigiana vs gratinada rellena de carne
CAT-0552,AL-12734,barquillos rellenos crema de cacao,marca_blanca,,ARTIACH Artinata Galletas de barquillo rellena con nata 210 g.,ARTIACH,2.37,4,barquillos rellenos pero marcas diferentes y especificaciones distintas (crema cacao vs nata)
CAT-0331,AL-81686,cacao soluble,marca_fabricante,ColaCao,COLACAO Energy Batido de leche enriquecida con cacao  9 x 188 ml.,COLACAO,5.5,4,"COLACAO pero producto diferente (cacao soluble vs batido de leche), marca_fabricante con marca coincidente pero tipos distintos"
CAT-4151,AL-85659,trenza hojaldre de mantequilla congelada,marca_blanca,,CASA TARRADELLAS Masa fresca cuadrada de hojaldre CASA TARRADELLAS 260 g,CASA TARRADELLAS,1.19,4,"ambos son hojaldre pero diferentes: trenza vs masa cuadrada, no es el mismo producto"
CAT-3835,AL-55700,manzana roja dulce,marca_blanca,,Manzanas gala aal peso.,MIS FRUTAS SELECCIONADAS,1.79,4,"manzana roja dulce vs manzana gala, misma categoría pero variedad distinta"
CAT-1906,AL-433125,crema de manos hidratante con aloe vera,marca_blanca,,"BABARIA Crema para pies con aloe vera, especial pies secos y talones agrietados BABARIA 150 ml.",BABARIA,1.96,4,misma categoría amplia (crema con aloe vera) pero diferente tipo: manos vs pies
CAT-7865,AL-95839,alimento completo para canarios y jilgueros,marca_fabricante,Granzoo,SANDIMAS Alimento completo para agropornis y carolinas SANDIMAS 1 kg.,SANDIMAS,2.15,4,"alimentos para aves pero tipos distintos: canarios/jilgueros vs agropornis/carolinas, marcas distintas"
CAT-3335,AL-795483,pizza cuatro quesos,marca_blanca,,"BUITONI Raviolis de pasta fresca, rellenos de una exquisita mezcla 4 quesos BUITONI 230 g.",BUITONI,3.08,4,ambos con tema 4 quesos pero categorías diferentes (pizza vs raviolis)
CAT-1878,AL-521894,arándanos deshidratados,marca_blanca,,PRODUCTO ALCAMPO Arándanos rojos 150 g.,PRODUCTO ALCAMPO,1.56,4,ambos arándanos pero diferente tipo (deshidratados vs rojos frescos/naturales)
CAT-0634,AL-37929,tortitas de maíz campestre,marca_blanca,,BICENTURY Mini tortitas de sabor jamón ibérico BICENTURY NACKIS 70 g.,BICENTURY,1.35,4,"tortitas maíz vs mini tortitas jamón, ambas snacks maíz pero sabores/productos distintos"
CAT-0348,AL-88679,gel corporal infantil,marca_blanca,,"DENENES Gel y champú infantil, con karité y petit grain, que no pica en los ojos DENENES Original 600 ml.",DENENES,3.75,4,"categoría amplia similar (higiene infantil) pero productos distintos (gel corporal vs gel+champú), marca diferente"
CAT-4108,AL-229957,cocktail natural,marca_blanca,,PRODUCTO ALCAMPO Mix nature Surtido de frutos secos crudos 150 g.,PRODUCTO ALCAMPO,1.99,4,"ambos son frutos secos pero diferentes: cocktail natural vs mix nature, no es el mismo producto"
CAT-3452,AL-56272,ensalada california,marca_blanca,,Ensalada César con pollo y queso FLORETTE 205 g.,FLORETTE,3.28,4,"ambas ensaladas pero tipos distintos (california vs césar), marca fabricante diferente"
CAT-6267,AL-54130,bacón ahumado sin corteza,marca_fabricante,Monells,"AUCHAN Bacon cocido cortado en lonchas, elaborado sin gluten y sin lactosa 200 g. Producto Alcampo",PRODUCTO ALCAMPO,2.08,4,"ambos productos de cerdo curado pero tipos distintos: bacón ahumado sin corteza vs bacon cocido en lonchas, marcas distintas"
CAT-6645,AL-245320,queso lonchas curado de vaca,marca_fabricante,Flamengo,AUCHAN Queso curado en lonchas con extra de proteínas 150 g. Producto Alcampo,PRODUCTO ALCAMPO,2.44,4,"ambos quesos lonchas curados pero marcas distintas (Flamengo vs Producto Alcampo), especificaciones diferentes"
CAT-1078,AL-895805,gel de baño frutal piel normal,marca_blanca,,"NATURAL HONEY Sensations Gel de baño o ducha hidratante, con aceite de coco 650 ml.",NATURAL HONEY,2.59,6,"gel baño/ducha, misma categoría pero gel frutal piel normal vs gel con coco, marcas diferentes"
CAT-1874,AL-524477,pistacho natural pelado,marca_blanca,,PRODUCTO ALCAMPO Pistachos tostados sin sal añadida 250 g.,PRODUCTO ALCAMPO,3.62,6,mismo tipo de producto (pistachos) pero diferente preparación (natural pelado vs tostados sin sal)
CAT-2018,AL-46566,apósitos hidrocoloides adhesivos para ampollas y rozaduras,marca_blanca,,HANSAPLAST Apósitos para dedos HANSAPLAST 16 uds,HANSAPLAST,3.49,6,mismo tipo de producto (apósitos adhesivos) pero distintos usos específicos (ampollas/rozaduras vs dedos)
CAT-1928,AL-886318,bálsamo labial color balm nude beige,marca_blanca,,"LIPOSAN Black berry shine Protector (bálsamo) labial hidrtante, con aroma a moras.",LIPOSAN,2.74,6,mismo tipo (bálsamo labial LIPOSAN) pero variantes diferentes (nude vs black berry)
