nombre_mercadona;precio;categoria;subcategoria
Bebida isotÃ³nica sabor cÃ­trico Iso drink;1.0 €;Bebidas;Refrescos
Bebida isotÃ³nica sabor cÃ­trico Iso drink zero;1.0 €;Bebidas;Refrescos
Bebida KÃ©fir de coco Hacendado;1.1 €;Bebidas;Refrescos
Bebida KÃ©fir natural Hacendado 0% MG;0.9 €;Bebidas;Refrescos
Bebida multivitaminas Hacendado sin azÃºcares aÃ±adidos;1.0 €;Bebidas;Refrescos
Bebida preparada de ron sabor mojito La Recompensa Ice;1.3 €;Bebidas;Licores y destilados
Bebida refrescante aromatizada tinto sin alcohol light Castillo de SalobreÃ±a;1.6 €;Bebidas;Vino
Bebida tropical Hacendado sin azÃºcares aÃ±adidos;1.0 €;Bebidas;Zumos
Bebida zumo de manzana El Lagar sin alcohol;2.4 €;Bebidas;Zumos
Bitter Kas sin alcohol;7.84 €;Bebidas;Refrescos
Bombones cereza al licor Hacendado con chocolate negro;2.2 €;Bebidas;Licores y destilados
Boquerones al vinagre Hacendado en aceite de girasol;5.6 €;Bebidas;Licores y destilados
Boquerones aliÃ±ados Hacendado;1.7 €;Bebidas;Licores y destilados
Boquerones en vinagre Hacendado en aceite de girasol;1.65 €;Bebidas;Licores y destilados
Brandy de Jerez solera reserva Convidado de Baco;6.0 €;Bebidas;Licores y destilados
Cacao soluble ColaCao original;17.0 €;Bebidas;Licores y destilados
CalabacÃ­n blanco;0.91 €;Bebidas;Vino
Carrilladas de cerdo al vino;7.9 €;Bebidas;Vino
Cava brut Anna CodornÃ­u;9.95 €;Bebidas;Vino
Cava brut CabrÃ© & SabatÃ©;3.3 €;Bebidas;Vino
Cava brut nature Jaume Serra;3.95 €;Bebidas;Vino
Cava brut nature reserva vintage CabrÃ© & SabatÃ©;4.7 €;Bebidas;Vino
Cava semi seco CabrÃ© & SabatÃ©;3.0 €;Bebidas;Vino
Cerveza 0,0% sin alcohol Falke;2.34 €;Bebidas;Cerveza
Cerveza 0,0% sin alcohol tostada Falke;3.68 €;Bebidas;Cerveza
Cerveza 0,0% sin alcohol tostada Mahou;6.9 €;Bebidas;Cerveza
Cerveza clÃ¡sica Mahou;6.96 €;Bebidas;Cerveza
Cerveza ClÃ¡sica Steinburg;3.84 €;Bebidas;Cerveza
Cerveza con aguardiente de agave Desperados;5.94 €;Bebidas;Agua
Cerveza Corona;7.32 €;Bebidas;Cerveza
Cerveza de trigo Paulaner;7.74 €;Bebidas;Cerveza
Cerveza doble malta 1897;3.18 €;Bebidas;Cerveza
Cerveza doble malta Voll-Damm;5.34 €;Bebidas;Cerveza
Cerveza El Ãguila sin filtrar;5.1 €;Bebidas;Cerveza
Cerveza especial Estrella Galicia;7.6 €;Bebidas;Cerveza
Cerveza especial Mahou;8.4 €;Bebidas;Cerveza
Cerveza especial San Miguel;6.0 €;Bebidas;Cerveza
Cerveza especial sin gluten Falke;3.84 €;Bebidas;Cerveza
Cerveza especial Steinburg;4.2 €;Bebidas;Cerveza
Cerveza extra 1906 reserva especial;5.0 €;Bebidas;Cerveza
Cerveza Heineken;5.6 €;Bebidas;Cerveza
Cerveza negra Ambar;6.0 €;Bebidas;Cerveza
Cerveza Radler Falke 0,0% sin alcohol;3.6 €;Bebidas;Cerveza
Cerveza Radler Steinburg con zumo natural de limÃ³n;4.92 €;Bebidas;Cerveza
Cerveza reserva 1925 Alhambra;7.98 €;Bebidas;Cerveza
Cerveza Shandy Steinburg sabor limÃ³n;4.32 €;Bebidas;Cerveza
Cerveza sin alcohol Falke;4.32 €;Bebidas;Cerveza
Cerveza sin alcohol Mahou;7.68 €;Bebidas;Cerveza
Cerveza sin gluten 0,0% sin alcohol tostada Mahou;6.88 €;Bebidas;Cerveza
Cerveza sin gluten Mahou;7.14 €;Bebidas;Cerveza
Cerveza Suave Steinburg;3.84 €;Bebidas;Cerveza
ChampiÃ±ones blancos;1.5 €;Bebidas;Vino
Chipirones enharinados Hacendado ultracongelado;4.8 €;Bebidas;Licores y destilados
Chipirones rellenos enteros en aceite de girasol Hacendado;2.25 €;Bebidas;Licores y destilados
Colorete fluido Blush mate Deliplus 01 rosa amarronado;5.0 €;Bebidas;Licores y destilados
Crema de calzado blanco autobrillante Bosque Verde con aplicador;0.95 €;Bebidas;Vino
DentÃ­frico Total original Colgate;2.45 €;Bebidas;Licores y destilados
Esparadrapo de papel adhesivo microporoso color blanco Deliplus;1.3 €;Bebidas;Vino
EspÃ¡rragos blancos delgados Hacendado cortos;1.25 €;Bebidas;Vino
EspÃ¡rragos blancos medianos Hacendado;1.5 €;Bebidas;Vino
EspÃ¡rragos blancos muy gruesos Hacendado cortos;3.1 €;Bebidas;Vino
EspÃ¡rragos blancos muy gruesos Hacendado enteros;2.9 €;Bebidas;Vino
Esponja de baÃ±o dermo agua Deliplus;1.5 €;Bebidas;Agua
Filete de salmÃ³n rosado salvaje con piel Hacendado ultracongelado;3.88 €;Bebidas;Vino
Gel de baÃ±o Classic original Magno;3.7 €;Bebidas;Licores y destilados
Ginebra Dry Gin Seagram's;17.5 €;Bebidas;Licores y destilados
Ginebra London Dry Gin Beefeater;13.9 €;Bebidas;Licores y destilados
Ginebra London Dry Gin Glivery;6.25 €;Bebidas;Licores y destilados
Ginebra London Dry Gin Larios;10.95 €;Bebidas;Licores y destilados
Ginebra London Dry Gin Tanqueray;13.95 €;Bebidas;Licores y destilados
Ginebra strawberry Gin Glivery;7.15 €;Bebidas;Licores y destilados
Ginebra sweet Gin Exotic Glivery;7.15 €;Bebidas;Licores y destilados
Golosinas Rega Relli Hacendado rellena con zumo de fruta;1.0 €;Bebidas;Zumos
Harina de maÃ­z blanco precocida Hacendado;1.6 €;Bebidas;Vino
Hueso blanco de cerdo salado;1.89 €;Bebidas;Vino
JabÃ³n de manos en pastilla natural original Heno de Pravia;2.5 €;Bebidas;Licores y destilados
Laca de uÃ±as manicura francesa Deliplus 01 blanco punta;2.75 €;Bebidas;Vino
Laca de uÃ±as manicura francesa Deliplus 06 blanco milky;2.75 €;Bebidas;Vino
LÃ¡grimas hidratantes para los ojos Deliplus con hialuronato sÃ³dico 0,2%;5.7 €;Bebidas;Licores y destilados
Lambrusco rosado frizzante dell'Emilia Piccolo Giovanni;2.3 €;Bebidas;Vino
Lavavajillas Ultra Original Fairy lÃ­quido;3.95 €;Bebidas;Licores y destilados
Licor de anÃ­s dulce Dama Mayor;5.5 €;Bebidas;Licores y destilados
Licor de anÃ­s dulce La Castellana;9.35 €;Bebidas;Licores y destilados
Licor de hierbas JÃ¤germeister;15.25 €;Bebidas;Licores y destilados
Licor de hierbas Puente Pazos;6.1 €;Bebidas;Licores y destilados
Licor de limoncello Franzini;6.85 €;Bebidas;Licores y destilados
Licor dulce Amaretto Del Patriarca;4.9 €;Bebidas;Licores y destilados
Licor mora sin alcohol Pi.omka;3.0 €;Bebidas;Licores y destilados
Macarrones Mac & Cheese Bacon Hacendado gratinados;2.4 €;Bebidas;Licores y destilados
Mantel de papel blanco Bosque Verde;2.6 €;Bebidas;Vino
Maquillaje Mate Stick multiusos bronzer Deliplus 400 chocolate;7.0 €;Bebidas;Licores y destilados
Margarina TulipÃ¡n Original;2.95 €;Bebidas;Licores y destilados
Mascarilla Hydra hyaluronic Deliplus cabello de normal a seco;2.1 €;Bebidas;Licores y destilados
Mosto tinto CasÃ³n HistÃ³rico;2.1 €;Bebidas;Vino
Paleta sombras de ojos Deliplus 07 marrones;4.0 €;Bebidas;Licores y destilados
Paleta sombras de ojos Deliplus 10 rosados;4.0 €;Bebidas;Vino
Parches para ojos de hidrogel Energizantes Deliplus con cafeÃ­na y ginseng;1.75 €;Bebidas;Licores y destilados
Pepperoni en lonchas Hacendado;1.6 €;Bebidas;Licores y destilados
Pipas calabaza tostadas Hacendado aguasal;1.55 €;Bebidas;Agua
Pipas girasol tostadas Hacendado gigante aguasal;1.2 €;Bebidas;Agua
Polvo Compacto 24H Long Lasting Deliplus 02 beige rosado;6.0 €;Bebidas;Vino
Polvo Compacto 24H Long Lasting Deliplus 05 bronceado;6.0 €;Bebidas;Licores y destilados
Polvo compacto perfeccionador efecto seda Deliplus 200 beige rosado;6.0 €;Bebidas;Vino
Queso lonchas edam de vaca Holland Corona;2.1 €;Bebidas;Licores y destilados
Queso tierno bola edam de vaca Holland Corona;3.9 €;Bebidas;Licores y destilados
Queso tierno maasdam de vaca Holland Corona;3.5 €;Bebidas;Licores y destilados
Queso tierno tronchÃ³n mezcla Hacendado;3.21 €;Bebidas;Licores y destilados
Queso untar original Philadelphia;2.3 €;Bebidas;Licores y destilados
Refresco Berry Lime Hacendado sin gas;1.15 €;Bebidas;Refrescos
Refresco Coca-Cola;4.1 €;Bebidas;Refrescos
Refresco Coca-Cola light;8.37 €;Bebidas;Refrescos
Refresco Coca-Cola Zero azÃºcar;11.16 €;Bebidas;Refrescos
Refresco Coca-Cola Zero Zero;11.16 €;Bebidas;Refrescos
Refresco cola Hacendado;0.8 €;Bebidas;Refrescos
Refresco cola Hacendado Zero azÃºcar;0.8 €;Bebidas;Refrescos
Refresco cola Hacendado Zero azÃºcar Zero cafeÃ­na;0.8 €;Bebidas;Refrescos
Refresco de limÃ³n Hacendado fresh gas;0.95 €;Bebidas;Refrescos
Refresco de limÃ³n Hacendado zero azÃºcar fresh gas;0.95 €;Bebidas;Refrescos
Refresco de naranja Hacendado fresh gas;0.95 €;Bebidas;Refrescos
Refresco de naranja Hacendado sin gas;1.15 €;Bebidas;Refrescos
Refresco de naranja Hacendado zero fresh gas;0.9 €;Bebidas;Refrescos
Refresco de naranja Simon Life sin gas;1.85 €;Bebidas;Refrescos
Refresco de naranja sin gas;1.6 €;Bebidas;Refrescos
Refresco Fanta limÃ³n;1.85 €;Bebidas;Refrescos
Refresco Fanta limÃ³n zero azÃºcares aÃ±adidos;4.24 €;Bebidas;Refrescos
Refresco Fanta naranja;3.15 €;Bebidas;Refrescos
Refresco Fanta naranja zero azÃºcares aÃ±adidos;1.85 €;Bebidas;Refrescos
Refresco fusiÃ³n de frutas Hacendado cero sin gas;1.15 €;Bebidas;Refrescos
Refresco lima limÃ³n Hacendado fresh gas;0.95 €;Bebidas;Refrescos
Refresco lima limÃ³n Hacendado zero azÃºcar fresh gas;0.95 €;Bebidas;Refrescos
Refresco lima limÃ³n Sprite;1.65 €;Bebidas;Refrescos
Refresco limÃ³n Schweppes original;7.76 €;Bebidas;Refrescos
Refresco piÃ±a-coco Hacendado cero sin gas;1.15 €;Bebidas;Refrescos
Refresco tÃ© sabor limÃ³n Fuze Tea;1.99 €;Bebidas;Refrescos
Refresco tÃ© sabor limÃ³n Hacendado;1.0 €;Bebidas;Refrescos
Refresco tÃ© sabor limÃ³n Hacendado para diluir;1.5 €;Bebidas;Refrescos
Refresco tÃ© sabor limÃ³n Hacendado zero;1.0 €;Bebidas;Refrescos
Refresco tÃ© sabor mango Hacendado zero;1.0 €;Bebidas;Refrescos
Refresco tÃ© sabor mango y piÃ±a Hacendado;1.0 €;Bebidas;Refrescos
Refresco tÃ© sabor melocotÃ³n Hacendado;1.0 €;Bebidas;Refrescos
Refresco tÃ© sabor melocotÃ³n Hacendado para diluir;1.5 €;Bebidas;Refrescos
Refresco tÃ© sabor melocotÃ³n Hacendado zero;1.0 €;Bebidas;Refrescos
Refresco tÃ© verde Hacendado;1.0 €;Bebidas;Refrescos
Refresco tÃ© verde sabor maracuyÃ¡ y mango Hacendado zero;1.0 €;Bebidas;Refrescos
Refresco Tropical Hacendado sin gas;1.2 €;Bebidas;Refrescos
Rodaja de tintorera sin piel Hacendado ultracongelada;3.13 €;Bebidas;Vino
Ron aÃ±ejo La Recompensa;6.15 €;Bebidas;Licores y destilados
Ron aÃ±ejo Negrita;8.95 €;Bebidas;Licores y destilados
Ron blanco superior La Recompensa;5.5 €;Bebidas;Vino
Ron dominicano aÃ±ejo Ron BarcelÃ³;15.45 €;Bebidas;Licores y destilados
Ron viejo La Recompensa;8.5 €;Bebidas;Licores y destilados
Salsa Original Ligeresa;2.35 €;Bebidas;Licores y destilados
Sombra de ojos Long Lasting Deliplus Multi-Stick 06 bronce;4.25 €;Bebidas;Licores y destilados
Tinto de verano 0,0% sin alcohol limÃ³n Don SimÃ³n;1.55 €;Bebidas;Vino
Tinto de verano limÃ³n CasÃ³n HistÃ³rico;1.3 €;Bebidas;Vino
Tinto de verano limÃ³n Don SimÃ³n;1.85 €;Bebidas;Vino
Tinto de verano zero limÃ³n CasÃ³n HistÃ³rico;1.15 €;Bebidas;Vino
Tiras adhesivas protectoras de poliuretano Aqua Deliplus surtidas resistentes al agua;1.3 €;Bebidas;Agua
TÃ³nica original Schweppes;7.84 €;Bebidas;Licores y destilados
Tortillitas de camarones Hacendado ultracongeladas;2.75 €;Bebidas;Licores y destilados
Velote blanco Roura;1.2 €;Bebidas;Vino
Vermouth blanco Maronti;3.0 €;Bebidas;Vino
Vermouth blanco Martini;11.9 €;Bebidas;Vino
Vermouth rojo Maronti reserva;2.9 €;Bebidas;Licores y destilados
Vinagre de vino blanco Hacendado;0.65 €;Bebidas;Vino
Vino blanco AirÃ©n Sauvignon Blanc Fidencio DO La Mancha;1.45 €;Bebidas;Vino
Vino blanco airÃ©n verdejo Elegido;2.2 €;Bebidas;Vino
Vino blanco albariÃ±o Pazo de Orantes DO RÃ­as Baixas;5.7 €;Bebidas;Vino
Vino blanco albariÃ±o Ponte Tamuxe DO RÃ­as Baixas;6.9 €;Bebidas;Vino
Vino blanco CasÃ³n HistÃ³rico;1.0 €;Bebidas;Vino
Vino blanco Chardonnay Atardecer DO Somontano;3.6 €;Bebidas;Vino
Vino blanco Chardonnay Mar de Uvas;2.5 €;Bebidas;Vino
Vino blanco crianza Capricho de Uva DO Rioja;6.0 €;Bebidas;Vino
Vino blanco Don SimÃ³n;1.75 €;Bebidas;Vino
Vino blanco Don SimÃ³n chardonnay airÃ©n;1.75 €;Bebidas;Vino
Vino blanco dulce Finca La Malcriada DO Valencia;2.65 €;Bebidas;Vino
Vino blanco El Coto DO Rioja;4.25 €;Bebidas;Vino
Vino blanco espumoso sabor melÃ³n frizzante Piccolo Giovanni;2.5 €;Bebidas;Vino
Vino blanco Marina Alta DO Alicante;4.95 €;Bebidas;Vino
Vino blanco semidulce Diamante DO Rioja;4.65 €;Bebidas;Vino
Vino blanco suave y afrutado El Pescaito;2.1 €;Bebidas;Vino
Vino blanco Treixadura Da Feira DO Ribeiro;5.0 €;Bebidas;Vino
Vino blanco verdejo AbadÃ­a MantrÃºs DO Rueda;2.85 €;Bebidas;Vino
Vino blanco verdejo ArribeÃ±o DO Rueda;2.45 €;Bebidas;Vino
Vino blanco verdejo Condado de TeÃ³n DO Rueda;3.9 €;Bebidas;Vino
Vino blanco verdejo frizzante DulZ.Ze;2.8 €;Bebidas;Vino
Vino fino Corredera DO Montilla-Moriles;3.25 €;Bebidas;Vino
Vino rosado Clarete Arteso DO Rioja;3.5 €;Bebidas;Vino
Vino rosado Dominio de Borgia;3.0 €;Bebidas;Vino
Vino rosado tempranillo syrah Fidencio DO La Mancha;1.55 €;Bebidas;Vino
Vino tinto 7 meses Barril NÂº7;5.5 €;Bebidas;Vino
Vino tinto Borsao DO Campo de Borja;2.3 €;Bebidas;Vino
Vino tinto CasÃ³n HistÃ³rico;1.2 €;Bebidas;Vino
Vino tinto ColecciÃ³n de parcelas Borsao DO Campo de Borja;3.25 €;Bebidas;Vino
Vino tinto cosecha Comportillo DO Rioja;2.9 €;Bebidas;Vino
Vino tinto cosecha Fidencio DO La Mancha;1.3 €;Bebidas;Vino
Vino tinto crianza AbadÃ­a MantrÃºs DO Ribera del Duero;4.5 €;Bebidas;Vino
Vino tinto crianza Comportillo DO Rioja;3.45 €;Bebidas;Vino
Vino tinto crianza Cune DO Rioja;7.25 €;Bebidas;Vino
Vino tinto crianza El Coto DO Rioja;6.35 €;Bebidas;Vino
Vino tinto crianza Fidencio DO La Mancha;1.7 €;Bebidas;Vino
Vino tinto crianza Torre Oria DO Utiel-Requena;2.2 €;Bebidas;Vino
Vino tinto crianza ViÃ±a Albali DO ValdepeÃ±as;2.8 €;Bebidas;Vino
Vino tinto Dominio de Borgia;2.7 €;Bebidas;Vino
Vino tinto Don SimÃ³n;1.75 €;Bebidas;Vino
Vino tinto dulce de aguja frizzante Rosso Dolce Cueva peccato;2.6 €;Bebidas;Vino
Vino tinto FariÃ±a DO Gran Dama de Toro;6.85 €;Bebidas;Vino
Vino tinto Merlot Mar de Uvas;2.25 €;Bebidas;Vino
Vino tinto Pieza Rey DO Rioja;9.6 €;Bebidas;Vino
Vino tinto reserva AbadÃ­a MantrÃºs DO Ribera del Duero;6.3 €;Bebidas;Vino
Vino tinto reserva Comportillo DO Rioja;4.65 €;Bebidas;Vino
Vino tinto reserva Coto de Imaz DO Rioja;8.65 €;Bebidas;Vino
Vino tinto roble Atardecer DO Ribera del Duero;4.2 €;Bebidas;Vino
Vino tinto roble FariÃ±a DO Dama de Toro;3.1 €;Bebidas;Vino
Vino tinto Syrah Mar de Uvas;2.15 €;Bebidas;Vino
Vino tinto tempranillo crianza SeÃ±orÃ­o de los Llanos DO ValdepeÃ±as;2.0 €;Bebidas;Vino
Vino tinto tempranillo Elegido;2.2 €;Bebidas;Vino
Vino tinto tempranillo Hacienda ZargÃ³n;5.45 €;Bebidas;Vino
Vino tinto tempranillo reserva Pata Negra DO ValdepeÃ±as;2.9 €;Bebidas;Vino
Vino tinto tempranillo syrah suave Caperucita tinta Torre Oria;1.85 €;Bebidas;Vino
Vino verde Loureiro Castelo de Moinhos DO Portugal;2.6 €;Bebidas;Vino
Vodka Knebep;6.7 €;Bebidas;Licores y destilados
Whisky DYC;10.05 €;Bebidas;Licores y destilados
Whisky escocÃ©s Ballantine's;13.25 €;Bebidas;Licores y destilados
Whisky escocÃ©s Black Label Johnnie Walker;28.9 €;Bebidas;Licores y destilados
Whisky escocÃ©s Grand Old Parr 12 aÃ±os;22.0 €;Bebidas;Licores y destilados
Whisky escocÃ©s J&B;11.95 €;Bebidas;Licores y destilados
Whisky escocÃ©s James Webb;6.15 €;Bebidas;Licores y destilados
Whisky escocÃ©s Red Label Johnnie Walker;14.45 €;Bebidas;Licores y destilados
Zumo de clementina Hacendado;1.8 €;Bebidas;Zumos
Zumo de manzana Hacendado;0.8 €;Bebidas;Zumos
Zumo de manzana selecciÃ³n Hacendado;1.7 €;Bebidas;Zumos
Zumo de melocotÃ³n y uva Hacendado;1.0 €;Bebidas;Zumos
Zumo de naranja Hacendado;2.1 €;Bebidas;Zumos
Zumo de naranja reciÃ©n exprimido Hacendado;1.95 €;Bebidas;Zumos
Zumo de piÃ±a Hacendado;1.75 €;Bebidas;Zumos
Zumo de piÃ±a selecciÃ³n Hacendado;2.6 €;Bebidas;Zumos
Zumo de piÃ±a y uva Hacendado;1.2 €;Bebidas;Zumos
Zumo de tomate Hacendado;1.05 €;Bebidas;Zumos
Zumo maracuyÃ¡ y chÃ­a Hacendado;1.65 €;Bebidas;Zumos
Zumo pura naranja con pulpa Hacendado;1.9 €;Bebidas;Zumos
Zumo pura naranja Hacendado;1.85 €;Bebidas;Zumos
